"pattern_ref","accepted_pattern_ref","job_external_ref","employee_sample_ref","pattern_title","job_family","core_skills","preferred_skills","target_experience_years","language_benchmark","education_benchmark","certifications","github_expected","portfolio_expected","project_experience_benchmark","evidence_summary","active"
"PAT-JOBJPOSAKARETAILBE001-CORE","ACP-JOBJPOSAKARETAILBE001-01","JOB-JP-OSAKA-RETAIL-BE-001","EMP-JOBJPOSAKARETAILBE001-01","Osaka Retail Tech Backend core job-fit pattern","Backend","MySQL|REST API|Docker|AWS|System Design","Redis|CI/CD|Observability|Terraform","2","BUSINESS","Bachelor or equivalent","JLPT N1|Cloud Fundamentals","true","true","retail inventory backend|cloud service backend|measurable output","Final PatternProfile synthesized from 20 dummy accepted-candidate models and 5 anonymized employee samples for Osaka Retail Tech Software Development Engineer.","true"
"PAT-JOBJPOSAKARETAILBE001-PORTFOLIO","ACP-JOBJPOSAKARETAILBE001-02","JOB-JP-OSAKA-RETAIL-BE-001","EMP-JOBJPOSAKARETAILBE001-02","Osaka Retail Tech Backend portfolio evidence pattern","Backend","REST API|Docker|AWS|System Design|Distributed Systems","CI/CD|Observability|Terraform|GraphQL","3","BUSINESS","Bachelor or equivalent","JLPT N1|Cloud Fundamentals","true","true","retail inventory backend|distributed data service|measurable output","Final PatternProfile synthesized from 20 dummy accepted-candidate models and 5 anonymized employee samples for Osaka Retail Tech Software Development Engineer.","true"
"PAT-JOBJPOSAKARETAILBE001-BRIDGE","ACP-JOBJPOSAKARETAILBE001-03","JOB-JP-OSAKA-RETAIL-BE-001","EMP-JOBJPOSAKARETAILBE001-03","Osaka Retail Tech Backend bridge candidate pattern","Backend","Docker|AWS|System Design|Distributed Systems|Java","Observability|Terraform|GraphQL|Security","1","BUSINESS","Bachelor or equivalent","JLPT N1|Cloud Fundamentals","true","false","retail inventory backend|high traffic API|measurable output","Final PatternProfile synthesized from 20 dummy accepted-candidate models and 5 anonymized employee samples for Osaka Retail Tech Software Development Engineer.","true"
"PAT-JOBJPKANTODATABE001-CORE","ACP-JOBJPKANTODATABE001-01","JOB-JP-KANTO-DATA-BE-001","EMP-JOBJPKANTODATABE001-01","Kanto Data Systems Backend core job-fit pattern","Backend","REST API|Docker|AWS|System Design|Distributed Systems","CI/CD|Observability|Terraform|GraphQL","4","BUSINESS","Bachelor or equivalent","JLPT N1|Cloud Fundamentals","true","true","data ingestion backend|distributed data service|measurable output","Final PatternProfile synthesized from 20 dummy accepted-candidate models and 5 anonymized employee samples for Kanto Data Systems Data Backend Engineer.","true"
"PAT-JOBJPKANTODATABE001-PORTFOLIO","ACP-JOBJPKANTODATABE001-02","JOB-JP-KANTO-DATA-BE-001","EMP-JOBJPKANTODATABE001-02","Kanto Data Systems Backend portfolio evidence pattern","Backend","Docker|AWS|System Design|Distributed Systems|Java","Observability|Terraform|GraphQL|Security","5","BUSINESS","Bachelor or equivalent","JLPT N1|Cloud Fundamentals","true","true","data ingestion backend|high traffic API|measurable output","Final PatternProfile synthesized from 20 dummy accepted-candidate models and 5 anonymized employee samples for Kanto Data Systems Data Backend Engineer.","true"
"PAT-JOBJPKANTODATABE001-BRIDGE","ACP-JOBJPKANTODATABE001-03","JOB-JP-KANTO-DATA-BE-001","EMP-JOBJPKANTODATABE001-03","Kanto Data Systems Backend bridge candidate pattern","Backend","AWS|System Design|Distributed Systems|Java|Spring Boot","Terraform|GraphQL|Security|Kubernetes","3","BUSINESS","Bachelor or equivalent","JLPT N1|Cloud Fundamentals","true","false","data ingestion backend|event processing pipeline|measurable output","Final PatternProfile synthesized from 20 dummy accepted-candidate models and 5 anonymized employee samples for Kanto Data Systems Data Backend Engineer.","true"
"PAT-JOBJPRAKUDAFE001-CORE","ACP-JOBJPRAKUDAFE001-01","JOB-JP-RAKUDA-FE-001","EMP-JOBJPRAKUDAFE001-01","Rakuda Commerce Frontend core job-fit pattern","Frontend","REST API|Design System|Testing|Accessibility|TypeScript","Figma|Playwright|i18n|State Management","2","BUSINESS","Bachelor or equivalent","JLPT N1|Cloud Fundamentals","true","true","commerce storefront|dashboard UI|measurable output","Final PatternProfile synthesized from 20 dummy accepted-candidate models and 5 anonymized employee samples for Rakuda Commerce Frontend Software Engineer.","true"
"PAT-JOBJPRAKUDAFE001-PORTFOLIO","ACP-JOBJPRAKUDAFE001-02","JOB-JP-RAKUDA-FE-001","EMP-JOBJPRAKUDAFE001-02","Rakuda Commerce Frontend portfolio evidence pattern","Frontend","Design System|Testing|Accessibility|TypeScript|React","Playwright|i18n|State Management|GraphQL","3","BUSINESS","Bachelor or equivalent","JLPT N1|Cloud Fundamentals","true","true","commerce storefront|customer workflow|measurable output","Final PatternProfile synthesized from 20 dummy accepted-candidate models and 5 anonymized employee samples for Rakuda Commerce Frontend Software Engineer.","true"
"PAT-JOBJPRAKUDAFE001-BRIDGE","ACP-JOBJPRAKUDAFE001-03","JOB-JP-RAKUDA-FE-001","EMP-JOBJPRAKUDAFE001-03","Rakuda Commerce Frontend bridge candidate pattern","Frontend","Testing|Accessibility|TypeScript|React|Next.js","i18n|State Management|GraphQL|Storybook","1","BUSINESS","Bachelor or equivalent","JLPT N1|Cloud Fundamentals","true","false","commerce storefront|design system|measurable output","Final PatternProfile synthesized from 20 dummy accepted-candidate models and 5 anonymized employee samples for Rakuda Commerce Frontend Software Engineer.","true"
"PAT-JOBJPSHIBUYAFE001-CORE","ACP-JOBJPSHIBUYAFE001-01","JOB-JP-SHIBUYA-FE-001","EMP-JOBJPSHIBUYAFE001-01","Shibuya Media Lab Frontend core job-fit pattern","Frontend","Design System|Testing|Accessibility|TypeScript|React","Playwright|i18n|State Management|GraphQL","3","BUSINESS","Bachelor or equivalent","JLPT N1|Cloud Fundamentals","true","true","media editing UI|customer workflow|measurable output","Final PatternProfile synthesized from 20 dummy accepted-candidate models and 5 anonymized employee samples for Shibuya Media Lab Product Frontend Engineer.","true"
"PAT-JOBJPSHIBUYAFE001-PORTFOLIO","ACP-JOBJPSHIBUYAFE001-02","JOB-JP-SHIBUYA-FE-001","EMP-JOBJPSHIBUYAFE001-02","Shibuya Media Lab Frontend portfolio evidence pattern","Frontend","Testing|Accessibility|TypeScript|React|Next.js","i18n|State Management|GraphQL|Storybook","4","BUSINESS","Bachelor or equivalent","JLPT N1|Cloud Fundamentals","true","true","media editing UI|design system|measurable output","Final PatternProfile synthesized from 20 dummy accepted-candidate models and 5 anonymized employee samples for Shibuya Media Lab Product Frontend Engineer.","true"
"PAT-JOBJPSHIBUYAFE001-BRIDGE","ACP-JOBJPSHIBUYAFE001-03","JOB-JP-SHIBUYA-FE-001","EMP-JOBJPSHIBUYAFE001-03","Shibuya Media Lab Frontend bridge candidate pattern","Frontend","Accessibility|TypeScript|React|Next.js|CSS","State Management|GraphQL|Storybook|Tailwind","2","BUSINESS","Bachelor or equivalent","JLPT N1|Cloud Fundamentals","true","false","media editing UI|internationalized web app|measurable output","Final PatternProfile synthesized from 20 dummy accepted-candidate models and 5 anonymized employee samples for Shibuya Media Lab Product Frontend Engineer.","true"
"PAT-JOBJPFUJIFE001-CORE","ACP-JOBJPFUJIFE001-01","JOB-JP-FUJI-FE-001","EMP-JOBJPFUJIFE001-01","Fuji Travel Tech Frontend core job-fit pattern","Frontend","Testing|Accessibility|TypeScript|React|Next.js","i18n|State Management|GraphQL|Storybook","2","BUSINESS","Bachelor or equivalent","JLPT N1|Cloud Fundamentals","true","true","travel itinerary interface|design system|measurable output","Final PatternProfile synthesized from 20 dummy accepted-candidate models and 5 anonymized employee samples for Fuji Travel Tech Web Application Engineer.","true"
"PAT-JOBJPFUJIFE001-PORTFOLIO","ACP-JOBJPFUJIFE001-02","JOB-JP-FUJI-FE-001","EMP-JOBJPFUJIFE001-02","Fuji Travel Tech Frontend portfolio evidence pattern","Frontend","Accessibility|TypeScript|React|Next.js|CSS","State Management|GraphQL|Storybook|Tailwind","3","BUSINESS","Bachelor or equivalent","JLPT N1|Cloud Fundamentals","true","true","travel itinerary interface|internationalized web app|measurable output","Final PatternProfile synthesized from 20 dummy accepted-candidate models and 5 anonymized employee samples for Fuji Travel Tech Web Application Engineer.","true"
"PAT-JOBJPFUJIFE001-BRIDGE","ACP-JOBJPFUJIFE001-03","JOB-JP-FUJI-FE-001","EMP-JOBJPFUJIFE001-03","Fuji Travel Tech Frontend bridge candidate pattern","Frontend","TypeScript|React|Next.js|CSS|REST API","GraphQL|Storybook|Tailwind|Performance","1","BUSINESS","Bachelor or equivalent","JLPT N1|Cloud Fundamentals","true","false","travel itinerary interface|dashboard UI|measurable output","Final PatternProfile synthesized from 20 dummy accepted-candidate models and 5 anonymized employee samples for Fuji Travel Tech Web Application Engineer.","true"
"PAT-JOBJPKANSAIFE001-CORE","ACP-JOBJPKANSAIFE001-01","JOB-JP-KANSAI-FE-001","EMP-JOBJPKANSAIFE001-01","Kansai SaaS Works Frontend core job-fit pattern","Frontend","Accessibility|TypeScript|React|Next.js|CSS","State Management|GraphQL|Storybook|Tailwind","4","BUSINESS","Bachelor or equivalent","JLPT N1|Cloud Fundamentals","true","true","B2B admin console|internationalized web app|measurable output","Final PatternProfile synthesized from 20 dummy accepted-candidate models and 5 anonymized employee samples for Kansai SaaS Works UI Platform Engineer.","true"
"PAT-JOBJPKANSAIFE001-PORTFOLIO","ACP-JOBJPKANSAIFE001-02","JOB-JP-KANSAI-FE-001","EMP-JOBJPKANSAIFE001-02","Kansai SaaS Works Frontend portfolio evidence pattern","Frontend","TypeScript|React|Next.js|CSS|REST API","GraphQL|Storybook|Tailwind|Performance","5","BUSINESS","Bachelor or equivalent","JLPT N1|Cloud Fundamentals","true","true","B2B admin console|dashboard UI|measurable output","Final PatternProfile synthesized from 20 dummy accepted-candidate models and 5 anonymized employee samples for Kansai SaaS Works UI Platform Engineer.","true"
"PAT-JOBJPKANSAIFE001-BRIDGE","ACP-JOBJPKANSAIFE001-03","JOB-JP-KANSAI-FE-001","EMP-JOBJPKANSAIFE001-03","Kansai SaaS Works Frontend bridge candidate pattern","Frontend","React|Next.js|CSS|REST API|Design System","Storybook|Tailwind|Performance|Figma","3","BUSINESS","Bachelor or equivalent","JLPT N1|Cloud Fundamentals","true","false","B2B admin console|customer workflow|measurable output","Final PatternProfile synthesized from 20 dummy accepted-candidate models and 5 anonymized employee samples for Kansai SaaS Works UI Platform Engineer.","true"
"PAT-JOBJPMIRAIFE001-CORE","ACP-JOBJPMIRAIFE001-01","JOB-JP-MIRAI-FE-001","EMP-JOBJPMIRAIFE001-01","Mirai EdTech Frontend core job-fit pattern","Frontend","TypeScript|React|Next.js|CSS|REST API","GraphQL|Storybook|Tailwind|Performance","2","BUSINESS","Bachelor or equivalent","JLPT N1|Cloud Fundamentals","true","true","learning dashboard|dashboard UI|measurable output","Final PatternProfile synthesized from 20 dummy accepted-candidate models and 5 anonymized employee samples for Mirai EdTech Frontend Software Engineer.","true"
"PAT-JOBJPMIRAIFE001-PORTFOLIO","ACP-JOBJPMIRAIFE001-02","JOB-JP-MIRAI-FE-001","EMP-JOBJPMIRAIFE001-02","Mirai EdTech Frontend portfolio evidence pattern","Frontend","React|Next.js|CSS|REST API|Design System","Storybook|Tailwind|Performance|Figma","3","BUSINESS","Bachelor or equivalent","JLPT N1|Cloud Fundamentals","true","true","learning dashboard|customer workflow|measurable output","Final PatternProfile synthesized from 20 dummy accepted-candidate models and 5 anonymized employee samples for Mirai EdTech Frontend Software Engineer.","true"
"PAT-JOBJPMIRAIFE001-BRIDGE","ACP-JOBJPMIRAIFE001-03","JOB-JP-MIRAI-FE-001","EMP-JOBJPMIRAIFE001-03","Mirai EdTech Frontend bridge candidate pattern","Frontend","Next.js|CSS|REST API|Design System|Testing","Tailwind|Performance|Figma|Playwright","1","BUSINESS","Bachelor or equivalent","JLPT N1|Cloud Fundamentals","true","false","learning dashboard|design system|measurable output","Final PatternProfile synthesized from 20 dummy accepted-candidate models and 5 anonymized employee samples for Mirai EdTech Frontend Software Engineer.","true"
"PAT-JOBJPGINZAFE001-CORE","ACP-JOBJPGINZAFE001-01","JOB-JP-GINZA-FE-001","EMP-JOBJPGINZAFE001-01","Ginza Design Cloud Frontend core job-fit pattern","Frontend","React|Next.js|CSS|REST API|Design System","Storybook|Tailwind|Performance|Figma","3","BUSINESS","Bachelor or equivalent","JLPT N1|Cloud Fundamentals","true","true","collaboration design system|customer workflow|measurable output","Final PatternProfile synthesized from 20 dummy accepted-candidate models and 5 anonymized employee samples for Ginza Design Cloud Design System Engineer.","true"
"PAT-JOBJPGINZAFE001-PORTFOLIO","ACP-JOBJPGINZAFE001-02","JOB-JP-GINZA-FE-001","EMP-JOBJPGINZAFE001-02","Ginza Design Cloud Frontend portfolio evidence pattern","Frontend","Next.js|CSS|REST API|Design System|Testing","Tailwind|Performance|Figma|Playwright","4","BUSINESS","Bachelor or equivalent","JLPT N1|Cloud Fundamentals","true","true","collaboration design system|design system|measurable output","Final PatternProfile synthesized from 20 dummy accepted-candidate models and 5 anonymized employee samples for Ginza Design Cloud Design System Engineer.","true"
"PAT-JOBJPGINZAFE001-BRIDGE","ACP-JOBJPGINZAFE001-03","JOB-JP-GINZA-FE-001","EMP-JOBJPGINZAFE001-03","Ginza Design Cloud Frontend bridge candidate pattern","Frontend","CSS|REST API|Design System|Testing|Accessibility","Performance|Figma|Playwright|i18n","2","BUSINESS","Bachelor or equivalent","JLPT N1|Cloud Fundamentals","true","false","collaboration design system|internationalized web app|measurable output","Final PatternProfile synthesized from 20 dummy accepted-candidate models and 5 anonymized employee samples for Ginza Design Cloud Design System Engineer.","true"
