"accepted_pattern_ref","job_external_ref","employee_sample_refs","pattern_title","job_family","modeled_experience_years","modeled_languages","modeled_education","modeled_certifications","modeled_core_skills","modeled_preferred_skills","modeled_portfolio_assets","modeled_project_keywords","derivation_reason","source_confidence","review_status"
"ACP-JOBUSSUMMITBE001-20","JOB-US-SUMMIT-BE-001","EMP-JOBUSSUMMITBE001-05|EMP-JOBUSSUMMITBE001-01","Summit Health AI Backend accepted candidate model 20","Backend","4","English:FLUENT","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","Spring Boot|MySQL|REST API|Docker|AWS","Kafka|Redis|CI/CD|Observability","GitHub","health data API|event processing pipeline|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","HIGH","APPROVED"
"ACP-JOBUSBLUEHARBORBE001-01","JOB-US-BLUEHARBOR-BE-001","EMP-JOBUSBLUEHARBORBE001-01|EMP-JOBUSBLUEHARBORBE001-02","BlueHarbor Games Backend accepted candidate model 1","Backend","5","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","Distributed Systems|Java|Spring Boot|MySQL|REST API","Security|Kubernetes|Kafka|Redis","GitHub|Portfolio","game live service backend|distributed data service|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","HIGH","APPROVED"
"ACP-JOBUSBLUEHARBORBE001-02","JOB-US-BLUEHARBOR-BE-001","EMP-JOBUSBLUEHARBORBE001-02|EMP-JOBUSBLUEHARBORBE001-03","BlueHarbor Games Backend accepted candidate model 2","Backend","6","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","Java|Spring Boot|MySQL|REST API|Docker","Kubernetes|Kafka|Redis|CI/CD","GitHub|Portfolio","game live service backend|high traffic API|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","HIGH","APPROVED"
"ACP-JOBUSBLUEHARBORBE001-03","JOB-US-BLUEHARBOR-BE-001","EMP-JOBUSBLUEHARBORBE001-03|EMP-JOBUSBLUEHARBORBE001-04","BlueHarbor Games Backend accepted candidate model 3","Backend","7","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","Spring Boot|MySQL|REST API|Docker|AWS","Kafka|Redis|CI/CD|Observability","GitHub|Portfolio","game live service backend|event processing pipeline|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","MEDIUM","APPROVED"
"ACP-JOBUSBLUEHARBORBE001-04","JOB-US-BLUEHARBOR-BE-001","EMP-JOBUSBLUEHARBORBE001-04|EMP-JOBUSBLUEHARBORBE001-05","BlueHarbor Games Backend accepted candidate model 4","Backend","3","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","MySQL|REST API|Docker|AWS|System Design","Redis|CI/CD|Observability|Terraform","GitHub","game live service backend|cloud service backend|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","HIGH","APPROVED"
"ACP-JOBUSBLUEHARBORBE001-05","JOB-US-BLUEHARBOR-BE-001","EMP-JOBUSBLUEHARBORBE001-05|EMP-JOBUSBLUEHARBORBE001-01","BlueHarbor Games Backend accepted candidate model 5","Backend","4","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","REST API|Docker|AWS|System Design|Distributed Systems","CI/CD|Observability|Terraform|GraphQL","GitHub|Portfolio","game live service backend|distributed data service|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","HIGH","APPROVED"
"ACP-JOBUSBLUEHARBORBE001-06","JOB-US-BLUEHARBOR-BE-001","EMP-JOBUSBLUEHARBORBE001-01|EMP-JOBUSBLUEHARBORBE001-02","BlueHarbor Games Backend accepted candidate model 6","Backend","5","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","Docker|AWS|System Design|Distributed Systems|Java","Observability|Terraform|GraphQL|Security","GitHub|Portfolio","game live service backend|high traffic API|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","MEDIUM","APPROVED"
"ACP-JOBUSBLUEHARBORBE001-07","JOB-US-BLUEHARBOR-BE-001","EMP-JOBUSBLUEHARBORBE001-02|EMP-JOBUSBLUEHARBORBE001-03","BlueHarbor Games Backend accepted candidate model 7","Backend","6","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","AWS|System Design|Distributed Systems|Java|Spring Boot","Terraform|GraphQL|Security|Kubernetes","GitHub|Portfolio","game live service backend|event processing pipeline|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","HIGH","APPROVED"
"ACP-JOBUSBLUEHARBORBE001-08","JOB-US-BLUEHARBOR-BE-001","EMP-JOBUSBLUEHARBORBE001-03|EMP-JOBUSBLUEHARBORBE001-04","BlueHarbor Games Backend accepted candidate model 8","Backend","7","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","System Design|Distributed Systems|Java|Spring Boot|MySQL","GraphQL|Security|Kubernetes|Kafka","GitHub","game live service backend|cloud service backend|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","HIGH","APPROVED"
"ACP-JOBUSBLUEHARBORBE001-09","JOB-US-BLUEHARBOR-BE-001","EMP-JOBUSBLUEHARBORBE001-04|EMP-JOBUSBLUEHARBORBE001-05","BlueHarbor Games Backend accepted candidate model 9","Backend","3","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","Distributed Systems|Java|Spring Boot|MySQL|REST API","Security|Kubernetes|Kafka|Redis","GitHub|Portfolio","game live service backend|distributed data service|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","MEDIUM","APPROVED"
"ACP-JOBUSBLUEHARBORBE001-10","JOB-US-BLUEHARBOR-BE-001","EMP-JOBUSBLUEHARBORBE001-05|EMP-JOBUSBLUEHARBORBE001-01","BlueHarbor Games Backend accepted candidate model 10","Backend","4","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","Java|Spring Boot|MySQL|REST API|Docker","Kubernetes|Kafka|Redis|CI/CD","GitHub|Portfolio","game live service backend|high traffic API|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","HIGH","APPROVED"
"ACP-JOBUSBLUEHARBORBE001-11","JOB-US-BLUEHARBOR-BE-001","EMP-JOBUSBLUEHARBORBE001-01|EMP-JOBUSBLUEHARBORBE001-02","BlueHarbor Games Backend accepted candidate model 11","Backend","5","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","Spring Boot|MySQL|REST API|Docker|AWS","Kafka|Redis|CI/CD|Observability","GitHub|Portfolio","game live service backend|event processing pipeline|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","HIGH","APPROVED"
"ACP-JOBUSBLUEHARBORBE001-12","JOB-US-BLUEHARBOR-BE-001","EMP-JOBUSBLUEHARBORBE001-02|EMP-JOBUSBLUEHARBORBE001-03","BlueHarbor Games Backend accepted candidate model 12","Backend","6","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","MySQL|REST API|Docker|AWS|System Design","Redis|CI/CD|Observability|Terraform","GitHub","game live service backend|cloud service backend|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","MEDIUM","APPROVED"
"ACP-JOBUSBLUEHARBORBE001-13","JOB-US-BLUEHARBOR-BE-001","EMP-JOBUSBLUEHARBORBE001-03|EMP-JOBUSBLUEHARBORBE001-04","BlueHarbor Games Backend accepted candidate model 13","Backend","7","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","REST API|Docker|AWS|System Design|Distributed Systems","CI/CD|Observability|Terraform|GraphQL","GitHub|Portfolio","game live service backend|distributed data service|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","HIGH","APPROVED"
"ACP-JOBUSBLUEHARBORBE001-14","JOB-US-BLUEHARBOR-BE-001","EMP-JOBUSBLUEHARBORBE001-04|EMP-JOBUSBLUEHARBORBE001-05","BlueHarbor Games Backend accepted candidate model 14","Backend","3","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","Docker|AWS|System Design|Distributed Systems|Java","Observability|Terraform|GraphQL|Security","GitHub|Portfolio","game live service backend|high traffic API|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","HIGH","APPROVED"
"ACP-JOBUSBLUEHARBORBE001-15","JOB-US-BLUEHARBOR-BE-001","EMP-JOBUSBLUEHARBORBE001-05|EMP-JOBUSBLUEHARBORBE001-01","BlueHarbor Games Backend accepted candidate model 15","Backend","4","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","AWS|System Design|Distributed Systems|Java|Spring Boot","Terraform|GraphQL|Security|Kubernetes","GitHub|Portfolio","game live service backend|event processing pipeline|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","MEDIUM","APPROVED"
"ACP-JOBUSBLUEHARBORBE001-16","JOB-US-BLUEHARBOR-BE-001","EMP-JOBUSBLUEHARBORBE001-01|EMP-JOBUSBLUEHARBORBE001-02","BlueHarbor Games Backend accepted candidate model 16","Backend","5","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","System Design|Distributed Systems|Java|Spring Boot|MySQL","GraphQL|Security|Kubernetes|Kafka","GitHub","game live service backend|cloud service backend|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","HIGH","APPROVED"
"ACP-JOBUSBLUEHARBORBE001-17","JOB-US-BLUEHARBOR-BE-001","EMP-JOBUSBLUEHARBORBE001-02|EMP-JOBUSBLUEHARBORBE001-03","BlueHarbor Games Backend accepted candidate model 17","Backend","6","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","Distributed Systems|Java|Spring Boot|MySQL|REST API","Security|Kubernetes|Kafka|Redis","GitHub|Portfolio","game live service backend|distributed data service|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","HIGH","APPROVED"
"ACP-JOBUSBLUEHARBORBE001-18","JOB-US-BLUEHARBOR-BE-001","EMP-JOBUSBLUEHARBORBE001-03|EMP-JOBUSBLUEHARBORBE001-04","BlueHarbor Games Backend accepted candidate model 18","Backend","7","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","Java|Spring Boot|MySQL|REST API|Docker","Kubernetes|Kafka|Redis|CI/CD","GitHub|Portfolio","game live service backend|high traffic API|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","MEDIUM","APPROVED"
"ACP-JOBUSBLUEHARBORBE001-19","JOB-US-BLUEHARBOR-BE-001","EMP-JOBUSBLUEHARBORBE001-04|EMP-JOBUSBLUEHARBORBE001-05","BlueHarbor Games Backend accepted candidate model 19","Backend","3","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","Spring Boot|MySQL|REST API|Docker|AWS","Kafka|Redis|CI/CD|Observability","GitHub|Portfolio","game live service backend|event processing pipeline|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","HIGH","APPROVED"
"ACP-JOBUSBLUEHARBORBE001-20","JOB-US-BLUEHARBOR-BE-001","EMP-JOBUSBLUEHARBORBE001-05|EMP-JOBUSBLUEHARBORBE001-01","BlueHarbor Games Backend accepted candidate model 20","Backend","4","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","MySQL|REST API|Docker|AWS|System Design","Redis|CI/CD|Observability|Terraform","GitHub","game live service backend|cloud service backend|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","HIGH","APPROVED"
"ACP-JOBUSBRIGHTFE001-01","JOB-US-BRIGHT-FE-001","EMP-JOBUSBRIGHTFE001-01|EMP-JOBUSBRIGHTFE001-02","BrightMarket Frontend accepted candidate model 1","Frontend","5","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","TypeScript|React|Next.js|CSS|REST API","GraphQL|Storybook|Tailwind|Performance","GitHub|Portfolio","seller analytics dashboard|dashboard UI|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","HIGH","APPROVED"
"ACP-JOBUSBRIGHTFE001-02","JOB-US-BRIGHT-FE-001","EMP-JOBUSBRIGHTFE001-02|EMP-JOBUSBRIGHTFE001-03","BrightMarket Frontend accepted candidate model 2","Frontend","6","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","React|Next.js|CSS|REST API|Design System","Storybook|Tailwind|Performance|Figma","GitHub|Portfolio","seller analytics dashboard|customer workflow|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","HIGH","APPROVED"
"ACP-JOBUSBRIGHTFE001-03","JOB-US-BRIGHT-FE-001","EMP-JOBUSBRIGHTFE001-03|EMP-JOBUSBRIGHTFE001-04","BrightMarket Frontend accepted candidate model 3","Frontend","2","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","Next.js|CSS|REST API|Design System|Testing","Tailwind|Performance|Figma|Playwright","GitHub|Portfolio","seller analytics dashboard|design system|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","MEDIUM","APPROVED"
"ACP-JOBUSBRIGHTFE001-04","JOB-US-BRIGHT-FE-001","EMP-JOBUSBRIGHTFE001-04|EMP-JOBUSBRIGHTFE001-05","BrightMarket Frontend accepted candidate model 4","Frontend","3","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","CSS|REST API|Design System|Testing|Accessibility","Performance|Figma|Playwright|i18n","GitHub","seller analytics dashboard|internationalized web app|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","HIGH","APPROVED"
"ACP-JOBUSBRIGHTFE001-05","JOB-US-BRIGHT-FE-001","EMP-JOBUSBRIGHTFE001-05|EMP-JOBUSBRIGHTFE001-01","BrightMarket Frontend accepted candidate model 5","Frontend","4","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","REST API|Design System|Testing|Accessibility|TypeScript","Figma|Playwright|i18n|State Management","GitHub|Portfolio","seller analytics dashboard|dashboard UI|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","HIGH","APPROVED"
"ACP-JOBUSBRIGHTFE001-06","JOB-US-BRIGHT-FE-001","EMP-JOBUSBRIGHTFE001-01|EMP-JOBUSBRIGHTFE001-02","BrightMarket Frontend accepted candidate model 6","Frontend","5","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","Design System|Testing|Accessibility|TypeScript|React","Playwright|i18n|State Management|GraphQL","GitHub|Portfolio","seller analytics dashboard|customer workflow|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","MEDIUM","APPROVED"
"ACP-JOBUSBRIGHTFE001-07","JOB-US-BRIGHT-FE-001","EMP-JOBUSBRIGHTFE001-02|EMP-JOBUSBRIGHTFE001-03","BrightMarket Frontend accepted candidate model 7","Frontend","6","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","Testing|Accessibility|TypeScript|React|Next.js","i18n|State Management|GraphQL|Storybook","GitHub|Portfolio","seller analytics dashboard|design system|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","HIGH","APPROVED"
"ACP-JOBUSBRIGHTFE001-08","JOB-US-BRIGHT-FE-001","EMP-JOBUSBRIGHTFE001-03|EMP-JOBUSBRIGHTFE001-04","BrightMarket Frontend accepted candidate model 8","Frontend","2","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","Accessibility|TypeScript|React|Next.js|CSS","State Management|GraphQL|Storybook|Tailwind","GitHub","seller analytics dashboard|internationalized web app|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","HIGH","APPROVED"
"ACP-JOBUSBRIGHTFE001-09","JOB-US-BRIGHT-FE-001","EMP-JOBUSBRIGHTFE001-04|EMP-JOBUSBRIGHTFE001-05","BrightMarket Frontend accepted candidate model 9","Frontend","3","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","TypeScript|React|Next.js|CSS|REST API","GraphQL|Storybook|Tailwind|Performance","GitHub|Portfolio","seller analytics dashboard|dashboard UI|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","MEDIUM","APPROVED"
"ACP-JOBUSBRIGHTFE001-10","JOB-US-BRIGHT-FE-001","EMP-JOBUSBRIGHTFE001-05|EMP-JOBUSBRIGHTFE001-01","BrightMarket Frontend accepted candidate model 10","Frontend","4","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","React|Next.js|CSS|REST API|Design System","Storybook|Tailwind|Performance|Figma","GitHub|Portfolio","seller analytics dashboard|customer workflow|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","HIGH","APPROVED"
"ACP-JOBUSBRIGHTFE001-11","JOB-US-BRIGHT-FE-001","EMP-JOBUSBRIGHTFE001-01|EMP-JOBUSBRIGHTFE001-02","BrightMarket Frontend accepted candidate model 11","Frontend","5","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","Next.js|CSS|REST API|Design System|Testing","Tailwind|Performance|Figma|Playwright","GitHub|Portfolio","seller analytics dashboard|design system|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","HIGH","APPROVED"
"ACP-JOBUSBRIGHTFE001-12","JOB-US-BRIGHT-FE-001","EMP-JOBUSBRIGHTFE001-02|EMP-JOBUSBRIGHTFE001-03","BrightMarket Frontend accepted candidate model 12","Frontend","6","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","CSS|REST API|Design System|Testing|Accessibility","Performance|Figma|Playwright|i18n","GitHub","seller analytics dashboard|internationalized web app|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","MEDIUM","APPROVED"
"ACP-JOBUSBRIGHTFE001-13","JOB-US-BRIGHT-FE-001","EMP-JOBUSBRIGHTFE001-03|EMP-JOBUSBRIGHTFE001-04","BrightMarket Frontend accepted candidate model 13","Frontend","2","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","REST API|Design System|Testing|Accessibility|TypeScript","Figma|Playwright|i18n|State Management","GitHub|Portfolio","seller analytics dashboard|dashboard UI|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","HIGH","APPROVED"
"ACP-JOBUSBRIGHTFE001-14","JOB-US-BRIGHT-FE-001","EMP-JOBUSBRIGHTFE001-04|EMP-JOBUSBRIGHTFE001-05","BrightMarket Frontend accepted candidate model 14","Frontend","3","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","Design System|Testing|Accessibility|TypeScript|React","Playwright|i18n|State Management|GraphQL","GitHub|Portfolio","seller analytics dashboard|customer workflow|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","HIGH","APPROVED"
"ACP-JOBUSBRIGHTFE001-15","JOB-US-BRIGHT-FE-001","EMP-JOBUSBRIGHTFE001-05|EMP-JOBUSBRIGHTFE001-01","BrightMarket Frontend accepted candidate model 15","Frontend","4","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","Testing|Accessibility|TypeScript|React|Next.js","i18n|State Management|GraphQL|Storybook","GitHub|Portfolio","seller analytics dashboard|design system|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","MEDIUM","APPROVED"
"ACP-JOBUSBRIGHTFE001-16","JOB-US-BRIGHT-FE-001","EMP-JOBUSBRIGHTFE001-01|EMP-JOBUSBRIGHTFE001-02","BrightMarket Frontend accepted candidate model 16","Frontend","5","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","Accessibility|TypeScript|React|Next.js|CSS","State Management|GraphQL|Storybook|Tailwind","GitHub","seller analytics dashboard|internationalized web app|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","HIGH","APPROVED"
"ACP-JOBUSBRIGHTFE001-17","JOB-US-BRIGHT-FE-001","EMP-JOBUSBRIGHTFE001-02|EMP-JOBUSBRIGHTFE001-03","BrightMarket Frontend accepted candidate model 17","Frontend","6","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","TypeScript|React|Next.js|CSS|REST API","GraphQL|Storybook|Tailwind|Performance","GitHub|Portfolio","seller analytics dashboard|dashboard UI|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","HIGH","APPROVED"
"ACP-JOBUSBRIGHTFE001-18","JOB-US-BRIGHT-FE-001","EMP-JOBUSBRIGHTFE001-03|EMP-JOBUSBRIGHTFE001-04","BrightMarket Frontend accepted candidate model 18","Frontend","2","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","React|Next.js|CSS|REST API|Design System","Storybook|Tailwind|Performance|Figma","GitHub|Portfolio","seller analytics dashboard|customer workflow|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","MEDIUM","APPROVED"
"ACP-JOBUSBRIGHTFE001-19","JOB-US-BRIGHT-FE-001","EMP-JOBUSBRIGHTFE001-04|EMP-JOBUSBRIGHTFE001-05","BrightMarket Frontend accepted candidate model 19","Frontend","3","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","Next.js|CSS|REST API|Design System|Testing","Tailwind|Performance|Figma|Playwright","GitHub|Portfolio","seller analytics dashboard|design system|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","HIGH","APPROVED"
"ACP-JOBUSBRIGHTFE001-20","JOB-US-BRIGHT-FE-001","EMP-JOBUSBRIGHTFE001-05|EMP-JOBUSBRIGHTFE001-01","BrightMarket Frontend accepted candidate model 20","Frontend","4","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","CSS|REST API|Design System|Testing|Accessibility","Performance|Figma|Playwright|i18n","GitHub","seller analytics dashboard|internationalized web app|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","HIGH","APPROVED"
"ACP-JOBUSNOVAFE001-01","JOB-US-NOVA-FE-001","EMP-JOBUSNOVAFE001-01|EMP-JOBUSNOVAFE001-02","Nova Commerce Frontend accepted candidate model 1","Frontend","7","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","React|Next.js|CSS|REST API|Design System","Storybook|Tailwind|Performance|Figma","GitHub|Portfolio","checkout web experience|customer workflow|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","HIGH","APPROVED"
"ACP-JOBUSNOVAFE001-02","JOB-US-NOVA-FE-001","EMP-JOBUSNOVAFE001-02|EMP-JOBUSNOVAFE001-03","Nova Commerce Frontend accepted candidate model 2","Frontend","3","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","Next.js|CSS|REST API|Design System|Testing","Tailwind|Performance|Figma|Playwright","GitHub|Portfolio","checkout web experience|design system|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","HIGH","APPROVED"
"ACP-JOBUSNOVAFE001-03","JOB-US-NOVA-FE-001","EMP-JOBUSNOVAFE001-03|EMP-JOBUSNOVAFE001-04","Nova Commerce Frontend accepted candidate model 3","Frontend","4","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","CSS|REST API|Design System|Testing|Accessibility","Performance|Figma|Playwright|i18n","GitHub|Portfolio","checkout web experience|internationalized web app|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","MEDIUM","APPROVED"
"ACP-JOBUSNOVAFE001-04","JOB-US-NOVA-FE-001","EMP-JOBUSNOVAFE001-04|EMP-JOBUSNOVAFE001-05","Nova Commerce Frontend accepted candidate model 4","Frontend","5","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","REST API|Design System|Testing|Accessibility|TypeScript","Figma|Playwright|i18n|State Management","GitHub","checkout web experience|dashboard UI|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","HIGH","APPROVED"
"ACP-JOBUSNOVAFE001-05","JOB-US-NOVA-FE-001","EMP-JOBUSNOVAFE001-05|EMP-JOBUSNOVAFE001-01","Nova Commerce Frontend accepted candidate model 5","Frontend","6","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","Design System|Testing|Accessibility|TypeScript|React","Playwright|i18n|State Management|GraphQL","GitHub|Portfolio","checkout web experience|customer workflow|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","HIGH","APPROVED"
"ACP-JOBUSNOVAFE001-06","JOB-US-NOVA-FE-001","EMP-JOBUSNOVAFE001-01|EMP-JOBUSNOVAFE001-02","Nova Commerce Frontend accepted candidate model 6","Frontend","7","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","Testing|Accessibility|TypeScript|React|Next.js","i18n|State Management|GraphQL|Storybook","GitHub|Portfolio","checkout web experience|design system|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","MEDIUM","APPROVED"
"ACP-JOBUSNOVAFE001-07","JOB-US-NOVA-FE-001","EMP-JOBUSNOVAFE001-02|EMP-JOBUSNOVAFE001-03","Nova Commerce Frontend accepted candidate model 7","Frontend","3","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","Accessibility|TypeScript|React|Next.js|CSS","State Management|GraphQL|Storybook|Tailwind","GitHub|Portfolio","checkout web experience|internationalized web app|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","HIGH","APPROVED"
"ACP-JOBUSNOVAFE001-08","JOB-US-NOVA-FE-001","EMP-JOBUSNOVAFE001-03|EMP-JOBUSNOVAFE001-04","Nova Commerce Frontend accepted candidate model 8","Frontend","4","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","TypeScript|React|Next.js|CSS|REST API","GraphQL|Storybook|Tailwind|Performance","GitHub","checkout web experience|dashboard UI|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","HIGH","APPROVED"
"ACP-JOBUSNOVAFE001-09","JOB-US-NOVA-FE-001","EMP-JOBUSNOVAFE001-04|EMP-JOBUSNOVAFE001-05","Nova Commerce Frontend accepted candidate model 9","Frontend","5","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","React|Next.js|CSS|REST API|Design System","Storybook|Tailwind|Performance|Figma","GitHub|Portfolio","checkout web experience|customer workflow|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","MEDIUM","APPROVED"
"ACP-JOBUSNOVAFE001-10","JOB-US-NOVA-FE-001","EMP-JOBUSNOVAFE001-05|EMP-JOBUSNOVAFE001-01","Nova Commerce Frontend accepted candidate model 10","Frontend","6","English:BUSINESS","Bachelor or equivalent","AWS Cloud Practitioner|Cloud Fundamentals","Next.js|CSS|REST API|Design System|Testing","Tailwind|Performance|Figma|Playwright","GitHub|Portfolio","checkout web experience|design system|production quality","Generated from dummy job requirements and anonymized employee sample mix for CareerLens prototype.","HIGH","APPROVED"
