"sample_ref","source_type","source_name","source_url","anonymized_label","current_company","current_job_title","matched_job_family","current_country","current_city","education","major","graduation_status","total_experience_years","related_experience_years","career_history","tech_stack","domain_experience","certifications","languages","github_present","portfolio_present","project_experience_notes","raw_notes","public_safe"
"EMP-JOBUSVECTORFE001-01","dummy_seed","careerlens_generated","","Vector Design Systems Frontend employee sample 1","Vector Design Systems","Product Frontend Engineer","Frontend","United States","Raleigh NC","Bachelor","Computer Science","Graduated","4","3","Junior Engineer 2 years|Vector Design Systems Frontend Engineer 2 years","Design System|Testing|Accessibility|TypeScript|Playwright|i18n","component library platform","Not specified","English","true","true","Dummy anonymized sample with experience in component library platform, customer workflow, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBUSVECTORFE001-02","dummy_seed","careerlens_generated","","Vector Design Systems Frontend employee sample 2","Vector Design Systems","Web Application Engineer","Frontend","United States","Raleigh NC","Bachelor","Computer Science","Graduated","5","4","Junior Engineer 3 years|Vector Design Systems Frontend Engineer 2 years","Testing|Accessibility|TypeScript|React|i18n|State Management","component library platform","AWS Certified Developer","English","true","true","Dummy anonymized sample with experience in component library platform, design system, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBUSVECTORFE001-03","dummy_seed","careerlens_generated","","Vector Design Systems Frontend employee sample 3","Vector Design Systems","UI Platform Engineer","Frontend","United States","Raleigh NC","Bachelor","Computer Science","Graduated","6","5","Junior Engineer 4 years|Vector Design Systems Frontend Engineer 2 years","Accessibility|TypeScript|React|Next.js|State Management|GraphQL","component library platform","Not specified","English","true","true","Dummy anonymized sample with experience in component library platform, internationalized web app, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBUSVECTORFE001-04","dummy_seed","careerlens_generated","","Vector Design Systems Frontend employee sample 4","Vector Design Systems","Frontend Software Engineer","Frontend","United States","Raleigh NC","Bachelor","Computer Science","Graduated","7","6","Junior Engineer 5 years|Vector Design Systems Frontend Engineer 2 years","TypeScript|React|Next.js|CSS|GraphQL|Storybook","component library platform","AWS Certified Developer","English","true","true","Dummy anonymized sample with experience in component library platform, dashboard UI, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBUSVECTORFE001-05","dummy_seed","careerlens_generated","","Vector Design Systems Frontend employee sample 5","Vector Design Systems","Product Frontend Engineer","Frontend","United States","Raleigh NC","Bachelor","Computer Science","Graduated","8","7","Junior Engineer 6 years|Vector Design Systems Frontend Engineer 2 years","React|Next.js|CSS|REST API|Storybook|Tailwind","component library platform","Not specified","English","false","true","Dummy anonymized sample with experience in component library platform, customer workflow, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBJPSAKURABE001-01","dummy_seed","careerlens_generated","","Sakura Cloud Backend employee sample 1","Sakura Cloud","Cloud Backend Engineer","Backend","Japan","Tokyo","Bachelor","Computer Science","Graduated","5","4","Junior Engineer 3 years|Sakura Cloud Backend Engineer 2 years","System Design|Distributed Systems|Java|Spring Boot|GraphQL|Security","cloud control plane API","JLPT N2","Japanese|English","true","false","Dummy anonymized sample with experience in cloud control plane API, cloud service backend, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBJPSAKURABE001-02","dummy_seed","careerlens_generated","","Sakura Cloud Backend employee sample 2","Sakura Cloud","Software Development Engineer","Backend","Japan","Tokyo","Bachelor","Computer Science","Graduated","6","5","Junior Engineer 4 years|Sakura Cloud Backend Engineer 2 years","Distributed Systems|Java|Spring Boot|MySQL|Security|Kubernetes","cloud control plane API","JLPT N1","Japanese|English","true","true","Dummy anonymized sample with experience in cloud control plane API, distributed data service, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBJPSAKURABE001-03","dummy_seed","careerlens_generated","","Sakura Cloud Backend employee sample 3","Sakura Cloud","Backend Software Engineer","Backend","Japan","Tokyo","Bachelor","Computer Science","Graduated","7","6","Junior Engineer 5 years|Sakura Cloud Backend Engineer 2 years","Java|Spring Boot|MySQL|REST API|Kubernetes|Kafka","cloud control plane API","JLPT N2","Japanese|English","true","false","Dummy anonymized sample with experience in cloud control plane API, high traffic API, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBJPSAKURABE001-04","dummy_seed","careerlens_generated","","Sakura Cloud Backend employee sample 4","Sakura Cloud","Platform Backend Engineer","Backend","Japan","Tokyo","Bachelor","Computer Science","Graduated","8","7","Junior Engineer 6 years|Sakura Cloud Backend Engineer 2 years","Spring Boot|MySQL|REST API|Docker|Kafka|Redis","cloud control plane API","JLPT N1","Japanese|English","true","true","Dummy anonymized sample with experience in cloud control plane API, event processing pipeline, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBJPSAKURABE001-05","dummy_seed","careerlens_generated","","Sakura Cloud Backend employee sample 5","Sakura Cloud","Cloud Backend Engineer","Backend","Japan","Tokyo","Bachelor","Computer Science","Graduated","9","8","Junior Engineer 7 years|Sakura Cloud Backend Engineer 2 years","MySQL|REST API|Docker|AWS|Redis|CI/CD","cloud control plane API","JLPT N2","Japanese|English","false","false","Dummy anonymized sample with experience in cloud control plane API, cloud service backend, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBJPTOKYOMOBBE001-01","dummy_seed","careerlens_generated","","Tokyo Mobility Backend employee sample 1","Tokyo Mobility","Software Development Engineer","Backend","Japan","Tokyo","Bachelor","Computer Science","Graduated","5","4","Junior Engineer 3 years|Tokyo Mobility Backend Engineer 2 years","Distributed Systems|Java|Spring Boot|MySQL|Security|Kubernetes","mobility dispatch backend","JLPT N2","Japanese|English","true","false","Dummy anonymized sample with experience in mobility dispatch backend, distributed data service, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBJPTOKYOMOBBE001-02","dummy_seed","careerlens_generated","","Tokyo Mobility Backend employee sample 2","Tokyo Mobility","Backend Software Engineer","Backend","Japan","Tokyo","Bachelor","Computer Science","Graduated","6","5","Junior Engineer 4 years|Tokyo Mobility Backend Engineer 2 years","Java|Spring Boot|MySQL|REST API|Kubernetes|Kafka","mobility dispatch backend","JLPT N1","Japanese|English","true","true","Dummy anonymized sample with experience in mobility dispatch backend, high traffic API, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBJPTOKYOMOBBE001-03","dummy_seed","careerlens_generated","","Tokyo Mobility Backend employee sample 3","Tokyo Mobility","Platform Backend Engineer","Backend","Japan","Tokyo","Bachelor","Computer Science","Graduated","7","6","Junior Engineer 5 years|Tokyo Mobility Backend Engineer 2 years","Spring Boot|MySQL|REST API|Docker|Kafka|Redis","mobility dispatch backend","JLPT N2","Japanese|English","true","false","Dummy anonymized sample with experience in mobility dispatch backend, event processing pipeline, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBJPTOKYOMOBBE001-04","dummy_seed","careerlens_generated","","Tokyo Mobility Backend employee sample 4","Tokyo Mobility","Cloud Backend Engineer","Backend","Japan","Tokyo","Bachelor","Computer Science","Graduated","8","7","Junior Engineer 6 years|Tokyo Mobility Backend Engineer 2 years","MySQL|REST API|Docker|AWS|Redis|CI/CD","mobility dispatch backend","JLPT N1","Japanese|English","true","true","Dummy anonymized sample with experience in mobility dispatch backend, cloud service backend, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBJPTOKYOMOBBE001-05","dummy_seed","careerlens_generated","","Tokyo Mobility Backend employee sample 5","Tokyo Mobility","Software Development Engineer","Backend","Japan","Tokyo","Bachelor","Computer Science","Graduated","9","8","Junior Engineer 7 years|Tokyo Mobility Backend Engineer 2 years","REST API|Docker|AWS|System Design|CI/CD|Observability","mobility dispatch backend","JLPT N2","Japanese|English","false","false","Dummy anonymized sample with experience in mobility dispatch backend, distributed data service, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBJPKYOTOROBBE001-01","dummy_seed","careerlens_generated","","Kyoto Robotics Backend employee sample 1","Kyoto Robotics","Backend Software Engineer","Backend","Japan","Kyoto","Bachelor","Computer Science","Graduated","5","4","Junior Engineer 3 years|Kyoto Robotics Backend Engineer 2 years","Java|Spring Boot|MySQL|REST API|Kubernetes|Kafka","robot telemetry service","JLPT N2","Japanese|English","true","false","Dummy anonymized sample with experience in robot telemetry service, high traffic API, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBJPKYOTOROBBE001-02","dummy_seed","careerlens_generated","","Kyoto Robotics Backend employee sample 2","Kyoto Robotics","Platform Backend Engineer","Backend","Japan","Kyoto","Bachelor","Computer Science","Graduated","6","5","Junior Engineer 4 years|Kyoto Robotics Backend Engineer 2 years","Spring Boot|MySQL|REST API|Docker|Kafka|Redis","robot telemetry service","JLPT N1","Japanese|English","true","true","Dummy anonymized sample with experience in robot telemetry service, event processing pipeline, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBJPKYOTOROBBE001-03","dummy_seed","careerlens_generated","","Kyoto Robotics Backend employee sample 3","Kyoto Robotics","Cloud Backend Engineer","Backend","Japan","Kyoto","Bachelor","Computer Science","Graduated","7","6","Junior Engineer 5 years|Kyoto Robotics Backend Engineer 2 years","MySQL|REST API|Docker|AWS|Redis|CI/CD","robot telemetry service","JLPT N2","Japanese|English","true","false","Dummy anonymized sample with experience in robot telemetry service, cloud service backend, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBJPKYOTOROBBE001-04","dummy_seed","careerlens_generated","","Kyoto Robotics Backend employee sample 4","Kyoto Robotics","Software Development Engineer","Backend","Japan","Kyoto","Bachelor","Computer Science","Graduated","8","7","Junior Engineer 6 years|Kyoto Robotics Backend Engineer 2 years","REST API|Docker|AWS|System Design|CI/CD|Observability","robot telemetry service","JLPT N1","Japanese|English","true","true","Dummy anonymized sample with experience in robot telemetry service, distributed data service, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBJPKYOTOROBBE001-05","dummy_seed","careerlens_generated","","Kyoto Robotics Backend employee sample 5","Kyoto Robotics","Backend Software Engineer","Backend","Japan","Kyoto","Bachelor","Computer Science","Graduated","9","8","Junior Engineer 7 years|Kyoto Robotics Backend Engineer 2 years","Docker|AWS|System Design|Distributed Systems|Observability|Terraform","robot telemetry service","JLPT N2","Japanese|English","false","false","Dummy anonymized sample with experience in robot telemetry service, high traffic API, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBJPNIPPONFINBE001-01","dummy_seed","careerlens_generated","","Nippon Fintech Backend employee sample 1","Nippon Fintech","Platform Backend Engineer","Backend","Japan","Tokyo","Bachelor","Computer Science","Graduated","6","5","Junior Engineer 4 years|Nippon Fintech Backend Engineer 2 years","Spring Boot|MySQL|REST API|Docker|Kafka|Redis","settlement transaction API","JLPT N2","Japanese|English","true","false","Dummy anonymized sample with experience in settlement transaction API, event processing pipeline, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBJPNIPPONFINBE001-02","dummy_seed","careerlens_generated","","Nippon Fintech Backend employee sample 2","Nippon Fintech","Cloud Backend Engineer","Backend","Japan","Tokyo","Bachelor","Computer Science","Graduated","7","6","Junior Engineer 5 years|Nippon Fintech Backend Engineer 2 years","MySQL|REST API|Docker|AWS|Redis|CI/CD","settlement transaction API","JLPT N1","Japanese|English","true","true","Dummy anonymized sample with experience in settlement transaction API, cloud service backend, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBJPNIPPONFINBE001-03","dummy_seed","careerlens_generated","","Nippon Fintech Backend employee sample 3","Nippon Fintech","Software Development Engineer","Backend","Japan","Tokyo","Bachelor","Computer Science","Graduated","8","7","Junior Engineer 6 years|Nippon Fintech Backend Engineer 2 years","REST API|Docker|AWS|System Design|CI/CD|Observability","settlement transaction API","JLPT N2","Japanese|English","true","false","Dummy anonymized sample with experience in settlement transaction API, distributed data service, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBJPNIPPONFINBE001-04","dummy_seed","careerlens_generated","","Nippon Fintech Backend employee sample 4","Nippon Fintech","Backend Software Engineer","Backend","Japan","Tokyo","Bachelor","Computer Science","Graduated","9","8","Junior Engineer 7 years|Nippon Fintech Backend Engineer 2 years","Docker|AWS|System Design|Distributed Systems|Observability|Terraform","settlement transaction API","JLPT N1","Japanese|English","true","true","Dummy anonymized sample with experience in settlement transaction API, high traffic API, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBJPNIPPONFINBE001-05","dummy_seed","careerlens_generated","","Nippon Fintech Backend employee sample 5","Nippon Fintech","Platform Backend Engineer","Backend","Japan","Tokyo","Bachelor","Computer Science","Graduated","10","9","Junior Engineer 8 years|Nippon Fintech Backend Engineer 2 years","AWS|System Design|Distributed Systems|Java|Terraform|GraphQL","settlement transaction API","JLPT N2","Japanese|English","false","false","Dummy anonymized sample with experience in settlement transaction API, event processing pipeline, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBJPOSAKARETAILBE001-01","dummy_seed","careerlens_generated","","Osaka Retail Tech Backend employee sample 1","Osaka Retail Tech","Cloud Backend Engineer","Backend","Japan","Osaka","Bachelor","Computer Science","Graduated","4","3","Junior Engineer 2 years|Osaka Retail Tech Backend Engineer 2 years","MySQL|REST API|Docker|AWS|Redis|CI/CD","retail inventory backend","JLPT N2","Japanese|English","true","false","Dummy anonymized sample with experience in retail inventory backend, cloud service backend, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBJPOSAKARETAILBE001-02","dummy_seed","careerlens_generated","","Osaka Retail Tech Backend employee sample 2","Osaka Retail Tech","Software Development Engineer","Backend","Japan","Osaka","Bachelor","Computer Science","Graduated","5","4","Junior Engineer 3 years|Osaka Retail Tech Backend Engineer 2 years","REST API|Docker|AWS|System Design|CI/CD|Observability","retail inventory backend","JLPT N1","Japanese|English","true","true","Dummy anonymized sample with experience in retail inventory backend, distributed data service, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBJPOSAKARETAILBE001-03","dummy_seed","careerlens_generated","","Osaka Retail Tech Backend employee sample 3","Osaka Retail Tech","Backend Software Engineer","Backend","Japan","Osaka","Bachelor","Computer Science","Graduated","6","5","Junior Engineer 4 years|Osaka Retail Tech Backend Engineer 2 years","Docker|AWS|System Design|Distributed Systems|Observability|Terraform","retail inventory backend","JLPT N2","Japanese|English","true","false","Dummy anonymized sample with experience in retail inventory backend, high traffic API, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBJPOSAKARETAILBE001-04","dummy_seed","careerlens_generated","","Osaka Retail Tech Backend employee sample 4","Osaka Retail Tech","Platform Backend Engineer","Backend","Japan","Osaka","Bachelor","Computer Science","Graduated","7","6","Junior Engineer 5 years|Osaka Retail Tech Backend Engineer 2 years","AWS|System Design|Distributed Systems|Java|Terraform|GraphQL","retail inventory backend","JLPT N1","Japanese|English","true","true","Dummy anonymized sample with experience in retail inventory backend, event processing pipeline, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBJPOSAKARETAILBE001-05","dummy_seed","careerlens_generated","","Osaka Retail Tech Backend employee sample 5","Osaka Retail Tech","Cloud Backend Engineer","Backend","Japan","Osaka","Bachelor","Computer Science","Graduated","8","7","Junior Engineer 6 years|Osaka Retail Tech Backend Engineer 2 years","System Design|Distributed Systems|Java|Spring Boot|GraphQL|Security","retail inventory backend","JLPT N2","Japanese|English","false","false","Dummy anonymized sample with experience in retail inventory backend, cloud service backend, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBJPKANTODATABE001-01","dummy_seed","careerlens_generated","","Kanto Data Systems Backend employee sample 1","Kanto Data Systems","Software Development Engineer","Backend","Japan","Yokohama","Bachelor","Computer Science","Graduated","5","4","Junior Engineer 3 years|Kanto Data Systems Backend Engineer 2 years","REST API|Docker|AWS|System Design|CI/CD|Observability","data ingestion backend","JLPT N2","Japanese|English","true","false","Dummy anonymized sample with experience in data ingestion backend, distributed data service, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBJPKANTODATABE001-02","dummy_seed","careerlens_generated","","Kanto Data Systems Backend employee sample 2","Kanto Data Systems","Backend Software Engineer","Backend","Japan","Yokohama","Bachelor","Computer Science","Graduated","6","5","Junior Engineer 4 years|Kanto Data Systems Backend Engineer 2 years","Docker|AWS|System Design|Distributed Systems|Observability|Terraform","data ingestion backend","JLPT N1","Japanese|English","true","true","Dummy anonymized sample with experience in data ingestion backend, high traffic API, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBJPKANTODATABE001-03","dummy_seed","careerlens_generated","","Kanto Data Systems Backend employee sample 3","Kanto Data Systems","Platform Backend Engineer","Backend","Japan","Yokohama","Bachelor","Computer Science","Graduated","7","6","Junior Engineer 5 years|Kanto Data Systems Backend Engineer 2 years","AWS|System Design|Distributed Systems|Java|Terraform|GraphQL","data ingestion backend","JLPT N2","Japanese|English","true","false","Dummy anonymized sample with experience in data ingestion backend, event processing pipeline, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBJPKANTODATABE001-04","dummy_seed","careerlens_generated","","Kanto Data Systems Backend employee sample 4","Kanto Data Systems","Cloud Backend Engineer","Backend","Japan","Yokohama","Bachelor","Computer Science","Graduated","8","7","Junior Engineer 6 years|Kanto Data Systems Backend Engineer 2 years","System Design|Distributed Systems|Java|Spring Boot|GraphQL|Security","data ingestion backend","JLPT N1","Japanese|English","true","true","Dummy anonymized sample with experience in data ingestion backend, cloud service backend, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBJPKANTODATABE001-05","dummy_seed","careerlens_generated","","Kanto Data Systems Backend employee sample 5","Kanto Data Systems","Software Development Engineer","Backend","Japan","Yokohama","Bachelor","Computer Science","Graduated","9","8","Junior Engineer 7 years|Kanto Data Systems Backend Engineer 2 years","Distributed Systems|Java|Spring Boot|MySQL|Security|Kubernetes","data ingestion backend","JLPT N2","Japanese|English","false","false","Dummy anonymized sample with experience in data ingestion backend, distributed data service, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBJPRAKUDAFE001-01","dummy_seed","careerlens_generated","","Rakuda Commerce Frontend employee sample 1","Rakuda Commerce","Frontend Software Engineer","Frontend","Japan","Tokyo","Bachelor","Computer Science","Graduated","4","3","Junior Engineer 2 years|Rakuda Commerce Frontend Engineer 2 years","REST API|Design System|Testing|Accessibility|Figma|Playwright","commerce storefront","JLPT N2","Japanese|English","true","true","Dummy anonymized sample with experience in commerce storefront, dashboard UI, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBJPRAKUDAFE001-02","dummy_seed","careerlens_generated","","Rakuda Commerce Frontend employee sample 2","Rakuda Commerce","Product Frontend Engineer","Frontend","Japan","Tokyo","Bachelor","Computer Science","Graduated","5","4","Junior Engineer 3 years|Rakuda Commerce Frontend Engineer 2 years","Design System|Testing|Accessibility|TypeScript|Playwright|i18n","commerce storefront","JLPT N1","Japanese|English","true","true","Dummy anonymized sample with experience in commerce storefront, customer workflow, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBJPRAKUDAFE001-03","dummy_seed","careerlens_generated","","Rakuda Commerce Frontend employee sample 3","Rakuda Commerce","Web Application Engineer","Frontend","Japan","Tokyo","Bachelor","Computer Science","Graduated","6","5","Junior Engineer 4 years|Rakuda Commerce Frontend Engineer 2 years","Testing|Accessibility|TypeScript|React|i18n|State Management","commerce storefront","JLPT N2","Japanese|English","true","true","Dummy anonymized sample with experience in commerce storefront, design system, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBJPRAKUDAFE001-04","dummy_seed","careerlens_generated","","Rakuda Commerce Frontend employee sample 4","Rakuda Commerce","UI Platform Engineer","Frontend","Japan","Tokyo","Bachelor","Computer Science","Graduated","7","6","Junior Engineer 5 years|Rakuda Commerce Frontend Engineer 2 years","Accessibility|TypeScript|React|Next.js|State Management|GraphQL","commerce storefront","JLPT N1","Japanese|English","true","true","Dummy anonymized sample with experience in commerce storefront, internationalized web app, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBJPRAKUDAFE001-05","dummy_seed","careerlens_generated","","Rakuda Commerce Frontend employee sample 5","Rakuda Commerce","Frontend Software Engineer","Frontend","Japan","Tokyo","Bachelor","Computer Science","Graduated","8","7","Junior Engineer 6 years|Rakuda Commerce Frontend Engineer 2 years","TypeScript|React|Next.js|CSS|GraphQL|Storybook","commerce storefront","JLPT N2","Japanese|English","false","true","Dummy anonymized sample with experience in commerce storefront, dashboard UI, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBJPSHIBUYAFE001-01","dummy_seed","careerlens_generated","","Shibuya Media Lab Frontend employee sample 1","Shibuya Media Lab","Product Frontend Engineer","Frontend","Japan","Tokyo","Bachelor","Computer Science","Graduated","4","3","Junior Engineer 2 years|Shibuya Media Lab Frontend Engineer 2 years","Design System|Testing|Accessibility|TypeScript|Playwright|i18n","media editing UI","JLPT N2","Japanese|English","true","true","Dummy anonymized sample with experience in media editing UI, customer workflow, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBJPSHIBUYAFE001-02","dummy_seed","careerlens_generated","","Shibuya Media Lab Frontend employee sample 2","Shibuya Media Lab","Web Application Engineer","Frontend","Japan","Tokyo","Bachelor","Computer Science","Graduated","5","4","Junior Engineer 3 years|Shibuya Media Lab Frontend Engineer 2 years","Testing|Accessibility|TypeScript|React|i18n|State Management","media editing UI","JLPT N1","Japanese|English","true","true","Dummy anonymized sample with experience in media editing UI, design system, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBJPSHIBUYAFE001-03","dummy_seed","careerlens_generated","","Shibuya Media Lab Frontend employee sample 3","Shibuya Media Lab","UI Platform Engineer","Frontend","Japan","Tokyo","Bachelor","Computer Science","Graduated","6","5","Junior Engineer 4 years|Shibuya Media Lab Frontend Engineer 2 years","Accessibility|TypeScript|React|Next.js|State Management|GraphQL","media editing UI","JLPT N2","Japanese|English","true","true","Dummy anonymized sample with experience in media editing UI, internationalized web app, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBJPSHIBUYAFE001-04","dummy_seed","careerlens_generated","","Shibuya Media Lab Frontend employee sample 4","Shibuya Media Lab","Frontend Software Engineer","Frontend","Japan","Tokyo","Bachelor","Computer Science","Graduated","7","6","Junior Engineer 5 years|Shibuya Media Lab Frontend Engineer 2 years","TypeScript|React|Next.js|CSS|GraphQL|Storybook","media editing UI","JLPT N1","Japanese|English","true","true","Dummy anonymized sample with experience in media editing UI, dashboard UI, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBJPSHIBUYAFE001-05","dummy_seed","careerlens_generated","","Shibuya Media Lab Frontend employee sample 5","Shibuya Media Lab","Product Frontend Engineer","Frontend","Japan","Tokyo","Bachelor","Computer Science","Graduated","8","7","Junior Engineer 6 years|Shibuya Media Lab Frontend Engineer 2 years","React|Next.js|CSS|REST API|Storybook|Tailwind","media editing UI","JLPT N2","Japanese|English","false","true","Dummy anonymized sample with experience in media editing UI, customer workflow, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBJPFUJIFE001-01","dummy_seed","careerlens_generated","","Fuji Travel Tech Frontend employee sample 1","Fuji Travel Tech","Web Application Engineer","Frontend","Japan","Nagoya","Bachelor","Computer Science","Graduated","4","3","Junior Engineer 2 years|Fuji Travel Tech Frontend Engineer 2 years","Testing|Accessibility|TypeScript|React|i18n|State Management","travel itinerary interface","JLPT N2","Japanese|English","true","true","Dummy anonymized sample with experience in travel itinerary interface, design system, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBJPFUJIFE001-02","dummy_seed","careerlens_generated","","Fuji Travel Tech Frontend employee sample 2","Fuji Travel Tech","UI Platform Engineer","Frontend","Japan","Nagoya","Bachelor","Computer Science","Graduated","5","4","Junior Engineer 3 years|Fuji Travel Tech Frontend Engineer 2 years","Accessibility|TypeScript|React|Next.js|State Management|GraphQL","travel itinerary interface","JLPT N1","Japanese|English","true","true","Dummy anonymized sample with experience in travel itinerary interface, internationalized web app, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBJPFUJIFE001-03","dummy_seed","careerlens_generated","","Fuji Travel Tech Frontend employee sample 3","Fuji Travel Tech","Frontend Software Engineer","Frontend","Japan","Nagoya","Bachelor","Computer Science","Graduated","6","5","Junior Engineer 4 years|Fuji Travel Tech Frontend Engineer 2 years","TypeScript|React|Next.js|CSS|GraphQL|Storybook","travel itinerary interface","JLPT N2","Japanese|English","true","true","Dummy anonymized sample with experience in travel itinerary interface, dashboard UI, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBJPFUJIFE001-04","dummy_seed","careerlens_generated","","Fuji Travel Tech Frontend employee sample 4","Fuji Travel Tech","Product Frontend Engineer","Frontend","Japan","Nagoya","Bachelor","Computer Science","Graduated","7","6","Junior Engineer 5 years|Fuji Travel Tech Frontend Engineer 2 years","React|Next.js|CSS|REST API|Storybook|Tailwind","travel itinerary interface","JLPT N1","Japanese|English","true","true","Dummy anonymized sample with experience in travel itinerary interface, customer workflow, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBJPFUJIFE001-05","dummy_seed","careerlens_generated","","Fuji Travel Tech Frontend employee sample 5","Fuji Travel Tech","Web Application Engineer","Frontend","Japan","Nagoya","Bachelor","Computer Science","Graduated","8","7","Junior Engineer 6 years|Fuji Travel Tech Frontend Engineer 2 years","Next.js|CSS|REST API|Design System|Tailwind|Performance","travel itinerary interface","JLPT N2","Japanese|English","false","true","Dummy anonymized sample with experience in travel itinerary interface, design system, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBJPKANSAIFE001-01","dummy_seed","careerlens_generated","","Kansai SaaS Works Frontend employee sample 1","Kansai SaaS Works","UI Platform Engineer","Frontend","Japan","Osaka","Bachelor","Computer Science","Graduated","5","4","Junior Engineer 3 years|Kansai SaaS Works Frontend Engineer 2 years","Accessibility|TypeScript|React|Next.js|State Management|GraphQL","B2B admin console","JLPT N2","Japanese|English","true","true","Dummy anonymized sample with experience in B2B admin console, internationalized web app, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBJPKANSAIFE001-02","dummy_seed","careerlens_generated","","Kansai SaaS Works Frontend employee sample 2","Kansai SaaS Works","Frontend Software Engineer","Frontend","Japan","Osaka","Bachelor","Computer Science","Graduated","6","5","Junior Engineer 4 years|Kansai SaaS Works Frontend Engineer 2 years","TypeScript|React|Next.js|CSS|GraphQL|Storybook","B2B admin console","JLPT N1","Japanese|English","true","true","Dummy anonymized sample with experience in B2B admin console, dashboard UI, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBJPKANSAIFE001-03","dummy_seed","careerlens_generated","","Kansai SaaS Works Frontend employee sample 3","Kansai SaaS Works","Product Frontend Engineer","Frontend","Japan","Osaka","Bachelor","Computer Science","Graduated","7","6","Junior Engineer 5 years|Kansai SaaS Works Frontend Engineer 2 years","React|Next.js|CSS|REST API|Storybook|Tailwind","B2B admin console","JLPT N2","Japanese|English","true","true","Dummy anonymized sample with experience in B2B admin console, customer workflow, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
